"place","date","lfs_event","protocols_used"
"Sydney",2004-12-01,1,"Johnston2011"
"Sydney",2004-12-08,1,"Johnston2011"
"Sydney",2004-12-09,1,"Johnston2011"
"Sydney",2004-12-10,1,"Johnston2011"
"Sydney",2004-12-11,1,"Johnston2011"
"Sydney",2004-12-12,1,"Johnston2011"
"Sydney",2004-12-13,1,"Johnston2011"
"Sydney",2004-12-14,1,"Johnston2011"
"Sydney",2004-12-15,1,"Johnston2011"
"Sydney",2004-12-16,1,"Johnston2011"
"Sydney",2005-01-12,1,"Johnston2011"
"Sydney",2005-01-13,1,"Johnston2011"
"Sydney",2005-01-14,1,"Johnston2011"
"Sydney",2005-01-15,1,"Johnston2011"
"Sydney",2005-01-16,1,"Johnston2011"
"Sydney",2005-02-07,1,"Johnston2011"
"Sydney",2005-02-08,1,"Johnston2011"
"Sydney",2005-02-14,1,"Johnston2011"
"Sydney",2005-02-15,1,"Johnston2011"
"Sydney",2005-10-04,1,"Johnston2011"
"Sydney",2005-12-07,1,"Johnston2011"
"Sydney",2005-12-17,1,"Johnston2011"
"Sydney",2005-12-21,1,"Johnston2011"
"Sydney",2005-12-22,1,"Johnston2011"
"Sydney",2005-12-23,1,"Johnston2011"
"Sydney",2005-12-24,1,"Johnston2011"
"Sydney",2005-12-25,1,"Johnston2011"
"Sydney",2005-12-28,1,"Johnston2011"
"Sydney",2005-12-31,1,"Johnston2011"
"Sydney",2006-01-01,1,"Johnston2011"
"Sydney",2006-01-03,1,"Johnston2011"
"Sydney",2006-01-04,1,"Johnston2011"
"Sydney",2006-01-21,1,"Johnston2011"
"Sydney",2006-01-22,1,"Johnston2011"
"Sydney",2006-01-23,1,"Johnston2011"
"Sydney",2006-02-12,1,"Johnston2011"
"Sydney",2006-02-18,1,"Johnston2011"
"Sydney",2006-04-04,1,"Johnston2011"
"Sydney",2006-04-06,1,"Johnston2011"
"Sydney",2006-09-13,1,"Johnston2011"
"Sydney",2006-09-14,1,"Johnston2011"
"Sydney",2006-09-15,1,"Johnston2011"
"Sydney",2006-09-16,1,"Johnston2011"
"Sydney",2006-09-17,1,"Johnston2011"
